Chromosome Basepair
1 10583
1 3582736
1 5913893
1 9365199
1 11777841
1 14891511
1 18662899
1 20469149
1 25516845
1 32438685
1 37549183
1 40200567
1 46899501
1 54226262
1 57021728
1 59890409
1 63455089
1 66939404
1 71372470
1 79661198
1 83991748
1 88128631
1 91886317
1 97885249
1 102898745
1 110303931
1 113273306
1 118839067
1 154770403
1 159913048
1 165191702
1 169086324
1 177433381
1 182755356
1 188759945
1 196176201
1 201589975
1 204681068
1 210787750
1 214578266
1 218705513
1 224938520
1 230685255
1 233429284
1 235819436
1 237555628
1 240564091
1 242071602
1 245506746
2 10133
2 3973779
2 6836254
2 10298469
2 12419150
2 16329735
2 19692404
2 23341383
2 29217559
2 31550450
2 36122006
2 40281483
2 44313803
2 47318772
2 52491133
2 58297315
2 65933444
2 69139564
2 75630086
2 80050403
2 88038507
2 105125034
2 108429177
2 116772470
2 123302906
2 129474441
2 135158578
2 141805351
2 147277162
2 154005056
2 159577082
2 167160270
2 171226245
2 175588929
2 181312739
2 191973357
2 198078110
2 205799241
2 209941529
2 215573795
2 218395480
2 222521176
2 228119842
2 231843389
2 235150987
2 237449032
3 60157
3 2992120
3 6083183
3 8648561
3 11019665
3 14816900
3 19125144
3 23804865
3 27840910
3 30717955
3 35283458
3 41064528
3 51832015
3 56433907
3 60272906
3 63669286
3 68286914
3 72529329
3 77508835
3 98215950
3 106982811
3 112815699
3 116800153
3 121974097
3 126214943
3 131836516
3 135456906
3 143164628
3 149043237
3 153256571
3 159477890
3 168580960
3 172295731
3 175116539
3 179374586
3 183769683
3 186890344
3 188856214
3 192343814
3 194786674
4 10240
4 4684116
4 6773043
4 8152235
4 14272001
4 17383322
4 24135529
4 27343722
4 31782981
4 37255047
4 42213058
4 55429556
4 58935008
4 66600492
4 74592390
4 79093979
4 84799656
4 90231564
4 96182188
4 103221356
4 111256567
4 115666246
4 124286481
4 130591885
4 138541971
4 143443265
4 150683580
4 155056126
4 158743718
4 165823448
4 169676825
4 176570716
4 178991910
4 182066807
4 184929455
4 186909090
5 11940
5 3361941
5 5973233
5 9718832
5 13464832
5 16963613
5 22152073
5 26857604
5 33500180
5 36433954
5 41888710
5 55417349
5 58524622
5 67850860
5 73759326
5 77623332
5 82025648
5 87389991
5 95963519
5 104851483
5 110821144
5 115831047
5 120452166
5 125785649
5 134777401
5 142981248
5 148662624
5 152867774
5 158825698
5 162743908
5 166847740
5 169505664
5 172678327
5 175450595
5 178413464
6 73924
6 1452362
6 3573593
6 5791472
6 7808936
6 11790816
6 14802924
6 19207487
6 21684065
6 24852275
6 33236497
6 37572596
6 42038721
6 45406563
6 52210476
6 65765742
6 73450097
6 80691170
6 88822140
6 93428644
6 100630146
6 106056733
6 110304247
6 117672972
6 125424383
6 132765669
6 136224177
6 138822629
6 145319810
6 150253404
6 153094496
6 156763326
6 162169564
6 165586864
7 16161
7 4573428
7 7808752
7 9123423
7 12635461
7 15143657
7 19481547
7 22507629
7 28360309
7 31137289
7 36213538
7 39862670
7 44763828
7 49212278
7 54222976
7 69085364
7 76458564
7 79888069
7 83801203
7 92493752
7 97099570
7 104159525
7 107780178
7 113712387
7 121933630
7 130422414
7 132805848
7 138744679
7 142656310
7 147815318
7 150711505
7 153674019
7 156065250
8 10422
8 2573279
8 4480476
8 7153079
8 13491775
8 17387876
8 19492840
8 22897057
8 26682525
8 31133729
8 38938806
8 53302930
8 59068651
8 65232872
8 70867979
8 73817199
8 81956395
8 90638162
8 96534806
8 101620958
8 104123306
8 111850847
8 119685457
8 124861459
8 128659111
8 133351144
8 136035605
8 140725643
9 10023
9 1916877
9 3190064
9 4884926
9 8456299
9 10879253
9 14836363
9 18661051
9 22206559
9 25330810
9 28224283
9 33578334
9 38641599
9 76203946
9 78900183
9 82590928
9 86938196
9 90136246
9 94167203
9 101592859
9 107581749
9 110695062
9 114831082
9 117921960
9 122260297
9 126971887
9 133223217
9 137041122
10 60523
10 3352699
10 5983762
10 7171484
10 10249396
10 12586797
10 15026068
10 18537267
10 22772283
10 26888684
10 30458838
10 35109355
10 48760450
10 55103572
10 61891409
10 69900148
10 73508512
10 80876749
10 84383745
10 91013381
10 96221243
10 100668400
10 108726686
10 115328432
10 119523934
10 122407323
